escalador,minimo_global,maximo_global,media_abs_max,mediana_abs_max
MinMaxScaler,0.0,1.0,0.3550626598555986,0.25005733689706383
StandardScaler,-1.2429402739513553,18.313202474884303,1.833846470826969e-16,0.6097842556943552
RobustScaler,-1.0,24.0,1.0297009422367882,0.0
