Gasto_Historico_Rango
Bajo
Medio-alto
Medio-alto
Medio-alto
Alto
Bajo
Alto
Bajo
Bajo
Bajo
Medio-alto
Alto
Alto
Alto
Alto
Medio-bajo
Medio-bajo
Bajo
Bajo
Medio-bajo
Alto
Bajo
Alto
Medio-alto
Alto
Alto
Medio-bajo
Alto
Medio-bajo
Bajo
Medio-bajo
Medio-bajo
Medio-alto
Medio-bajo
Medio-bajo
Medio-bajo
Bajo
Medio-bajo
Medio-alto
Medio-alto
Alto
Bajo
Bajo
Bajo
Medio-bajo
Alto
Medio-alto
Alto
Bajo
Medio-bajo
Medio-alto
Alto
Medio-bajo
Medio-alto
Medio-alto
Bajo
Alto
Alto
Alto
Bajo
Medio-alto
Medio-bajo
Medio-bajo
Alto
Alto
Medio-bajo
Medio-bajo
Alto
Alto
Medio-alto
Bajo
Alto
Bajo
Medio-alto
Medio-alto
Medio-bajo
Alto
Bajo
Medio-bajo
Medio-alto
Medio-bajo
Medio-alto
Bajo
Medio-bajo
Medio-bajo
Alto
Medio-alto
Medio-alto
Medio-alto
Bajo
Medio-alto
Medio-alto
Medio-alto
Medio-alto
Medio-bajo
Bajo
Medio-alto
Medio-alto
Medio-bajo
Alto
Alto
Medio-alto
Medio-bajo
Medio-alto
Alto
Bajo
Medio-bajo
Medio-bajo
Medio-alto
Bajo
Alto
Medio-bajo
Bajo
Bajo
Bajo
Alto
Medio-alto
Alto
Bajo
Medio-alto
Alto
Medio-alto
Medio-alto
Medio-alto
Bajo
Medio-bajo
Medio-alto
Bajo
Medio-alto
Alto
Medio-bajo
Alto
Medio-bajo
Bajo
Alto
Medio-bajo
Medio-alto
Bajo
Bajo
Bajo
Medio-alto
Medio-alto
Medio-alto
Medio-bajo
Medio-bajo
Medio-bajo
Alto
Medio-bajo
Bajo
Medio-alto
Bajo
Bajo
Bajo
Medio-bajo
Medio-alto
Bajo
Medio-bajo
Bajo
Medio-alto
Alto
Medio-alto
Alto
Medio-alto
Alto
Medio-alto
Medio-alto
Medio-bajo
Medio-bajo
Alto
Medio-alto
Alto
Medio-bajo
Alto
Bajo
Alto
Bajo
Bajo
Medio-bajo
Medio-bajo
Alto
Medio-bajo
Medio-alto
Medio-bajo
Medio-bajo
Alto
Medio-bajo
Medio-alto
Medio-bajo
Medio-bajo
Medio-alto
Alto
Medio-alto
Medio-alto
Bajo
Alto
Bajo
Alto
Medio-bajo
Bajo
Medio-alto
Bajo
Bajo
Alto
Bajo
Medio-alto
Bajo
Medio-alto
Bajo
Alto
Bajo
Medio-bajo
Bajo
Alto
Bajo
Medio-bajo
Medio-alto
Bajo
Medio-alto
Medio-alto
Bajo
Medio-bajo
Bajo
Alto
Medio-alto
Alto
Medio-alto
Alto
Medio-bajo
Bajo
Alto
Medio-alto
Medio-alto
Bajo
Medio-bajo
Bajo
Medio-alto
Medio-alto
Medio-alto
Alto
Medio-alto
Medio-alto
Bajo
Medio-bajo
Alto
Bajo
Medio-alto
Medio-alto
Medio-alto
Medio-alto
Alto
Medio-alto
Bajo
Bajo
Bajo
Alto
Bajo
Bajo
Medio-alto
Medio-alto
Medio-alto
Bajo
Medio-bajo
Alto
Medio-bajo
Bajo
Bajo
Medio-bajo
Medio-bajo
Medio-alto
Medio-alto
Alto
Alto
Alto
Medio-alto
Bajo
Alto
Medio-alto
Bajo
Medio-bajo
Medio-bajo
Bajo
Medio-alto
Bajo
Medio-bajo
Alto
Alto
Alto
Alto
Bajo
Medio-bajo
Bajo
Alto
Alto
Bajo
Alto
Medio-bajo
Alto
Bajo
Alto
Medio-bajo
Medio-alto
Medio-bajo
Alto
Alto
Alto
Alto
Medio-bajo
Bajo
Medio-bajo
Alto
Medio-bajo
Medio-alto
Medio-bajo
Alto
Medio-bajo
Medio-bajo
Alto
Medio-alto
Bajo
Bajo
Bajo
Medio-bajo
Medio-alto
Medio-alto
Medio-bajo
Medio-alto
Alto
Bajo
Alto
Bajo
Medio-alto
Medio-alto
Medio-alto
Medio-alto
Medio-alto
Medio-alto
Bajo
Alto
Medio-alto
Alto
Bajo
Medio-alto
Medio-alto
Alto
Medio-bajo
Medio-alto
Alto
Medio-bajo
Bajo
Bajo
Medio-alto
Bajo
Alto
Bajo
Bajo
Medio-bajo
Medio-bajo
Medio-bajo
Medio-alto
Alto
Alto
Medio-bajo
Alto
Medio-alto
Alto
Bajo
Medio-bajo
Alto
Medio-alto
Bajo
Medio-bajo
Bajo
Medio-bajo
Medio-alto
Bajo
Bajo
Medio-bajo
Medio-alto
Medio-bajo
Medio-alto
Alto
Medio-bajo
Bajo
Medio-bajo
Alto
Medio-bajo
Medio-alto
Bajo
Medio-bajo
Medio-bajo
Medio-alto
Bajo
Bajo
Medio-bajo
Medio-alto
Medio-alto
Medio-alto
Alto
Medio-alto
Alto
Medio-alto
Bajo
Medio-alto
Bajo
Medio-alto
Bajo
Medio-bajo
Alto
Medio-bajo
Alto
Medio-bajo
Bajo
Medio-alto
Bajo
Bajo
Alto
Medio-bajo
Bajo
Bajo
Alto
Bajo
Bajo
Alto
Medio-bajo
Medio-bajo
Bajo
Medio-alto
Medio-alto
Alto
Medio-alto
Alto
Medio-alto
Medio-bajo
Alto
Alto
Medio-bajo
Alto
Alto
Medio-bajo
Medio-bajo
Medio-bajo
Alto
Alto
Medio-bajo
Alto
Bajo
Alto
Alto
Medio-bajo
Medio-alto
Medio-alto
Medio-bajo
Medio-alto
Medio-alto
Bajo
Medio-bajo
Bajo
Alto
Medio-alto
Bajo
Medio-bajo
Bajo
Bajo
Medio-alto
Medio-alto
Medio-alto
Medio-alto
Alto
Alto
Bajo
Alto
Bajo
Medio-bajo
Medio-bajo
Alto
Medio-alto
Medio-bajo
Bajo
Medio-alto
Bajo
Medio-alto
Alto
Alto
Medio-alto
Bajo
Medio-bajo
Alto
Medio-alto
Bajo
Bajo
Medio-alto
Medio-alto
Bajo
Medio-alto
Medio-alto
Medio-bajo
Medio-alto
Medio-bajo
Bajo
Medio-bajo
Bajo
Medio-bajo
Alto
Alto
Bajo
Bajo
Bajo
Bajo
Alto
Medio-alto
Medio-bajo
Alto
Medio-alto
Medio-alto
Alto
Medio-bajo
Medio-alto
Medio-alto
Medio-alto
Medio-alto
Medio-bajo
Medio-alto
Bajo
Medio-alto
Bajo
Bajo
Bajo
Medio-bajo
Alto
Alto
Medio-bajo
Alto
Bajo
Medio-bajo
Medio-bajo
Bajo
Medio-bajo
Medio-alto
Bajo
Bajo
Alto
Medio-alto
Medio-bajo
Medio-bajo
Medio-alto
Alto
Alto
Medio-alto
Medio-alto
Medio-alto
Medio-alto
Alto
Medio-bajo
Medio-bajo
Alto
Alto
Bajo
Alto
Alto
Medio-alto
Medio-bajo
Medio-bajo
Alto
Medio-alto
Medio-bajo
Medio-bajo
Alto
Medio-bajo
Medio-alto
Medio-alto
Alto
Alto
Medio-bajo
Medio-alto
Medio-bajo
Bajo
Alto
Medio-alto
Bajo
Bajo
Bajo
Medio-bajo
Medio-alto
Medio-alto
Medio-alto
Medio-alto
Alto
Alto
Medio-alto
Alto
Alto
Medio-bajo
Medio-bajo
Alto
Alto
Bajo
Medio-bajo
Bajo
Medio-alto
Medio-bajo
Bajo
Bajo
Alto
Medio-alto
Alto
Bajo
Bajo
Bajo
Medio-bajo
Alto
Bajo
Medio-bajo
Bajo
Alto
Bajo
Medio-bajo
Medio-alto
Bajo
Alto
Bajo
Bajo
Medio-bajo
Bajo
Bajo
Medio-bajo
Medio-alto
Bajo
Medio-bajo
Alto
Medio-alto
Bajo
Medio-bajo
Bajo
Alto
Medio-bajo
Bajo
Medio-bajo
Medio-bajo
Medio-alto
Medio-bajo
Medio-bajo
Medio-bajo
Bajo
Alto
Medio-bajo
Bajo
Alto
Alto
Alto
Alto
Bajo
